"","ss1","ss2","ss3","ss4","ss5","ss6","ss7","ss8","totalRock","response.cor","fwd.error1","fwd.error2","forecast","bn.score","arcStr","parentCount"
"190",2,266,433,452,520,721,765,839,27,2,0.0591276635583258,0.014435295928922,1.79920166489362,-6686.78814733423,-363.702109002398,1
"191",2,469,666,739,787,803,812,850,27,3,0.0591276635583258,0.014435295928922,1.79920166489362,-9315.6343907178,-363.702109002398,1
"192",2,85,340,366,435,457,638,818,27,2,0.0591276635583258,0.014435295928922,1.79920166489362,-10503.1043041244,-363.702109002398,1
"193",2,18,454,498,690,716,718,850,27,2,0.082072243451293,0.0279034025641816,1.85500447319231,-9641.96324334877,-356.618365778743,2
"194",2,131,250,465,479,570,695,706,27,2,0.0830667582905806,0.034815759966119,1.86336810023692,-9161.01024038019,-371.68140999809,2
"195",2,22,41,191,306,633,751,831,27,3,0.115961969390863,0.084989035459121,1.84844501672039,-7622.71892507081,-380.683986638244,2
"196",5,88,92,191,381,477,533,556,27,2,0.60477740546219,0.50838754930117,2.31164812471937,-8713.48010615381,-87.6014521868935,3
"197",2,71,88,188,229,330,448,650,26,4,0.0174888742875359,0.0716406274086367,1.75109433413757,-11018.6553625364,-340.589742979677,2
"198",2,74,141,289,433,490,513,655,26,3,0.0241100902468772,0.0409532364045995,1.77460638048771,-8428.93996207277,-278.476687570649,3
"199",2,6,50,101,295,395,526,706,26,2,0.0388658728246341,0.0959508844652779,1.76343928362323,-10136.4539641649,-349.603863198544,3
"200",2,26,666,724,739,787,803,812,26,3,0.048271085232475,0.0275604491164245,1.77513474121404,-9120.50798035118,-364.134943682522,2
"201",2,42,102,126,378,481,695,789,26,3,0.0560705519146947,0.0171412225442358,1.79987066428663,-10232.8014458165,-370.686276517599,2
"202",2,222,305,346,414,529,545,652,26,3,0.0591276635583258,0.014435295928922,1.79920166489362,-7732.66754839798,-363.702109002398,1
"203",2,164,315,381,715,767,769,806,26,2,0.0591276635583258,0.014435295928922,1.79920166489362,-7211.35057938938,-363.702109002398,1
