"","ss1","ss2","ss3","ss4","ss5","ss6","ss7","ss8","totalRock","response.cor","fwd.error1","fwd.error2","forecast"
"20",39,111,248,435,567,626,631,783,52,3,0.0020694436800488,0.0263632838303525,3.56894204794942
"21",19,48,71,197,209,333,412,855,58,4,0.00226218623989149,0.147435407229549,6.39647463214832
"22",198,223,285,387,439,631,633,719,48,2,0.002272647154411,0.232015711692119,3.38995801658162
"23",51,109,463,718,720,790,833,834,55,3,0.00232519685281041,0.14264960832578,3.43617260291847
"24",27,35,420,447,474,626,629,847,49,6,0.00235711835175856,0.0419963315075167,3.53991449647271
"25",277,418,626,704,772,791,796,855,44,2,0.00239623453922189,0.031005803921639,3.58907997765392
"26",258,260,429,603,650,805,831,850,56,4,0.00252665450577449,0.0714092318846862,3.50354413182799
"27",136,247,409,412,472,570,642,668,49,5,0.00260077767650557,0.113938404134852,3.30913987964494
"28",211,269,293,297,498,626,628,831,38,3,0.00264155812697053,0.043699149024075,3.5245125759926
"29",68,246,286,344,528,531,618,626,39,4,0.00285690760178081,0.159417206906534,3.5805226516117
"30",32,321,342,414,531,704,736,840,39,3,0.00312901642069319,0.0191281693561014,3.6751963725398
"31",115,271,394,421,626,652,765,786,35,3,0.00320183233597771,0.149253845103229,3.54257540604381
"32",27,165,301,403,641,689,752,799,56,2,0.00322220112943139,0.326290679767799,3.33587304157009
"33",150,312,377,405,446,546,690,770,49,5,0.0035814445092166,0.129903210326649,3.33676880162559
"34",253,280,292,361,400,495,743,843,55,4,0.00359043444069584,0.0959495210562635,3.46957792173824
"35",67,95,187,241,352,405,679,732,45,4,0.00362141176037145,0.124373427050706,3.4749081292041
"36",3,50,105,198,201,299,436,615,50,3,0.00369151114093524,0.274337508245774,3.37173345764316
"37",27,134,342,369,463,595,603,643,42,2,0.00386313538509642,0.00570611233366547,3.57959451917649
"38",42,134,373,396,404,673,729,840,47,4,0.00399702273791425,0.0572444910275451,3.63547500783656
"39",144,182,185,578,589,622,626,760,44,2,0.00473857228692021,0.0796824374934939,3.40327951128413
"40",201,412,458,628,649,662,688,779,50,3,0.00475815750990893,0.126953661268867,3.30337296940517
"41",12,44,46,216,569,626,775,788,51,4,0.004914682057787,0.0370520654422974,3.56166638011884
"42",121,387,499,642,703,726,772,840,39,2,0.00508075450411205,0.0272225809612796,3.65628089695923
"43",65,189,252,449,626,692,694,802,40,2,0.00519921384008981,0.112990307223086,3.49583112550257
"44",127,156,401,429,439,486,843,851,58,5,0.00522326185941591,0.102181781615247,3.51435783970329
"45",60,102,220,357,452,549,626,798,56,3,0.00564035137513796,0.130523524274364,3.39407039306126
"46",163,260,384,412,558,654,796,847,43,3,0.00592914967210367,0.129877409996645,3.29786407919942
"47",66,431,502,519,644,672,802,833,48,4,0.00601800910280392,0.130032374704087,3.42573843523851
"48",232,396,405,469,498,580,689,853,34,3,0.00603716674295596,0.361165058171489,3.48064243397042
"49",170,197,227,228,299,500,760,840,43,4,0.00615448271601249,0.173826205620308,6.80333038208371
"50",228,234,555,626,637,647,702,806,42,5,0.00616247836718564,0.0639748531590545,3.47101045739307
"51",6,123,131,143,391,412,427,794,59,2,0.00622639315632423,0.109866596646594,3.32296215830331
"52",23,238,295,361,470,476,626,739,47,5,0.00631120614178471,0.092914102609154,3.50642492443056
"53",97,162,296,512,603,643,649,676,36,3,0.00644600380258353,0.0703299506412369,3.68581725192921
"54",9,26,151,159,198,202,711,785,48,3,0.00652058062693373,0.335875907129854,3.33046814875293
"55",15,178,198,352,410,455,580,744,44,4,0.00659190322272973,0.165534064316538,3.40061817568889
"56",30,66,84,129,179,438,483,626,58,7,0.00677168805753059,0.0393868398117063,4.76839071031009
"57",133,159,196,198,226,406,457,707,33,2,0.00689228753741178,0.277852301556596,3.37750082294697
"58",125,341,396,575,584,594,771,840,54,6,0.00704260977585536,0.103497328499132,3.53321618762867
"59",171,204,339,420,443,546,626,821,44,3,0.00714549000227738,0.0284076646828368,4.27407813193753
